ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
166M,166,M,S2,65,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.060760073,0.029347292,0,60.76,0,0,60.76,0,1,1
173#,173,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.038303847,0.018834658,0,38.304,0,0,38.304,0,1,0
173M,173,M,S2,55,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.00183259,0.001013782,0,1.833,0,0,1.833,0,1,1
180#,180,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.019408122,0.009798096,0,19.408,0,0,19.408,0,1,0
180F,180,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.000948202,0.000538109,0,0.948,0,0,0.948,0,1,0
185#,185,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.029876131,0.014832764,0,29.876,0,0,29.876,0,1,0
185F,185,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,8.43E-06,5.75E-06,2.64E-06,0,0,0,0,1,0,0
192#,192,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.013834401,0.007076466,0,13.834,0,0,13.834,0,1,0
192M,192,M,S2,59,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.106127412,0.050163804,0,106.127,0,0,106.127,0,1,1
258#,258,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.007123176,0.003738543,0,7.123,0,0,7.123,0,1,0
258F,258,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,6.88E-05,4.32E-05,0,0,0,0,0,1,0,0
293#,293,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.074496406,0.035698879,0,74.496,0,0,74.496,0,1,0
293M,293,M,S2,31,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.038815221,0.019076303,0,38.815,0,0,38.815,0,1,1
305#,305,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.170355774,0.079059566,0,170.356,0,0,170.356,0,1,0
305M,305,M,S2,49,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.074548423,0.03572284,0,74.548,0,0,74.548,0,1,1
321#,321,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.017527702,0.008883792,0,17.528,0,0,17.528,0,1,0
321F,321,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.000257775,0.000153862,0,0.258,0,0,0.258,0,1,0
331#,331,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.015708399,0.007995577,0,15.708,0,0,15.708,0,1,0
331F,331,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,5.14E-06,3.57E-06,5.01E-06,0,0,0,0,1,0,0
12#,12,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.036938485,0.018188855,0,36.938,0,0,36.938,0,1,0
12M,12,M,S2,33,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.220402093,0.101269386,0,220.402,0,0,220.402,0,1,1
36#,36,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.173717989,0.080558878,0,173.718,0,0,173.718,0,1,0
36M,36,M,S2,34,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.087653057,0.041739667,0,87.653,0,0,87.653,0,1,1
60#,60,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.013028375,0.006679696,0,13.028,0,0,13.028,0,1,0
60M,60,M,S2,33,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.254840792,0.116436131,0,254.841,0,0,254.841,0,1,1
81#,81,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.028670751,0.014257059,0,28.671,0,0,28.671,0,1,0
81M,81,M,S2,NA,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.163482611,0.075991021,0,163.483,0,0,163.483,0,1,0
118#,118,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.035871305,0.017683445,0,35.871,0,0,35.871,0,1,0
118F,118,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,9.62E-07,7.13E-07,4.79E-06,0,0,0,0,1,0,0
130#,130,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.049452907,0.024077274,0,49.453,0,0,49.453,0,1,0
